model,shots,train_degradation,test_degradation,seed,lr,accuracy,f1,train_time_sec,num_params
mobilenet,5,none,none,88,0.0001,0.5253703703703704,0.49337237914758536,2.4,2236682
mobilenet,5,none,moderate,88,0.0001,0.11148148148148149,0.025084128698697028,2.4,2236682
mobilenet,5,none,severe,88,0.0001,0.10888888888888888,0.01963927855711423,2.4,2236682
mobilenet,5,none,none,314,0.0001,0.5137037037037037,0.5033761289949819,2.4,2236682
mobilenet,5,none,moderate,314,0.0001,0.08925925925925926,0.02066445997996344,2.4,2236682
mobilenet,5,none,severe,314,0.0001,0.10888888888888888,0.01963927855711423,2.4,2236682
mobilenet,5,moderate,none,42,0.0001,0.14759259259259258,0.08648445330657292,3.2,2236682
mobilenet,5,moderate,moderate,42,0.0001,0.627962962962963,0.614065493338108,3.2,2236682
mobilenet,5,moderate,severe,42,0.0001,0.13462962962962963,0.06246884688172951,3.2,2236682
mobilenet,5,moderate,none,123,0.0001,0.16907407407407407,0.10055160024732532,3.2,2236682
mobilenet,5,moderate,moderate,123,0.0001,0.6205555555555555,0.6001136652350929,3.2,2236682
mobilenet,5,moderate,severe,123,0.0001,0.08277777777777778,0.028600261696091433,3.2,2236682
mobilenet,5,moderate,none,7,0.0001,0.11851851851851852,0.07864615771373688,3.2,2236682
mobilenet,5,moderate,moderate,7,0.0001,0.6012962962962963,0.5818824829193858,3.2,2236682
mobilenet,5,moderate,severe,7,0.0001,0.07796296296296296,0.03925771528879132,3.2,2236682
mobilenet,5,moderate,none,2024,0.0001,0.20037037037037037,0.13988441006370805,3.2,2236682
mobilenet,5,moderate,moderate,2024,0.0001,0.5977777777777777,0.5846973277677672,3.2,2236682
mobilenet,5,moderate,severe,2024,0.0001,0.09351851851851851,0.046499950209066256,3.2,2236682
mobilenet,5,moderate,none,99,0.0001,0.16962962962962963,0.12006064242635102,3.2,2236682
mobilenet,5,moderate,moderate,99,0.0001,0.6074074074074074,0.5863400718999824,3.2,2236682
mobilenet,5,moderate,severe,99,0.0001,0.12277777777777778,0.04236322294039301,3.2,2236682
mobilenet,5,moderate,none,17,0.0001,0.14407407407407408,0.10633391535505639,3.2,2236682
mobilenet,5,moderate,moderate,17,0.0001,0.6172222222222222,0.5959688002144651,3.2,2236682
mobilenet,5,moderate,severe,17,0.0001,0.10351851851851852,0.06833458446581198,3.2,2236682
mobilenet,5,moderate,none,256,0.0001,0.18722222222222223,0.12010963517252513,3.2,2236682
mobilenet,5,moderate,moderate,256,0.0001,0.6216666666666667,0.6105329823920228,3.2,2236682
mobilenet,5,moderate,severe,256,0.0001,0.11166666666666666,0.04781337838324162,3.2,2236682
mobilenet,5,moderate,none,512,0.0001,0.038703703703703705,0.03722551080534713,3.2,2236682
mobilenet,5,moderate,moderate,512,0.0001,0.6101851851851852,0.5932549527464832,3.2,2236682
mobilenet,5,moderate,severe,512,0.0001,0.1087037037037037,0.03002858514803986,3.2,2236682
mobilenet,5,moderate,none,88,0.0001,0.1287037037037037,0.11628380303489419,3.2,2236682
mobilenet,5,moderate,moderate,88,0.0001,0.6159259259259259,0.6123299042272492,3.2,2236682
mobilenet,5,moderate,severe,88,0.0001,0.12777777777777777,0.05141750458032823,3.2,2236682
mobilenet,5,moderate,none,314,0.0001,0.06388888888888888,0.06070309784684351,3.2,2236682
mobilenet,5,moderate,moderate,314,0.0001,0.6281481481481481,0.6130621512838317,3.2,2236682
mobilenet,5,moderate,severe,314,0.0001,0.12796296296296297,0.06173014642358836,3.2,2236682
mobilenet,5,severe,none,42,0.0001,0.11166666666666666,0.026790454573431287,3.2,2236682
